Taxa,Value
Taxa_000,0.8906107978894081
Taxa_001,0.7534612746378543
Taxa_002,0.7019763093087722
Taxa_003,0.24994208186064504
Taxa_004,0.5857278277784529
Taxa_005,0.20051539056183643
Taxa_006,0.3160416928029317
Taxa_007,0.57900627962125
Taxa_008,0.23968405252553415
Taxa_009,0.9542087957099314
Taxa_010,0.11875219103702572
Taxa_011,0.6929447655636767
Taxa_012,0.4838511314717202
Taxa_013,0.3680283024993367
Taxa_014,0.43446450396719083
Taxa_015,0.8757939218225421
Taxa_016,0.6295392557854205
Taxa_017,0.24191190349865954
Taxa_018,0.016630256632170104
Taxa_019,0.8085376402912795
Taxa_020,0.21608875494232738
Taxa_021,0.8353608455197166
Taxa_022,0.5456173003284
Taxa_023,0.8535919471203013
Taxa_024,0.7212267779025598
Taxa_025,0.04386232936506984
Taxa_026,0.9227156081979938
Taxa_027,0.14612299447737398
Taxa_028,0.22511244049355927
Taxa_029,0.8829079908017109
Taxa_030,0.6915603836212105
Taxa_031,0.1317668439495181
Taxa_032,0.3024991328646577
Taxa_033,0.05514317442868566
Taxa_034,0.5976945778189086
Taxa_035,0.9774476710415101
Taxa_036,0.3402176726431003
Taxa_037,0.046948573103721025
Taxa_038,0.4096985770993665
Taxa_039,0.40182866671979556
Taxa_040,0.22585960523434234
Taxa_041,0.39834892951928835
Taxa_042,0.09049402769428228
Taxa_043,0.5182427998605897
Taxa_044,0.9676536497220904
Taxa_045,0.45623677976550536
Taxa_046,0.21310283236120897
Taxa_047,0.9168547972212434
Taxa_048,0.09779562643630135
Taxa_049,0.46478283630101436
